,halal_found,Type,business_name,certificate_number,certificate_issue_date,total_products,restaurant_name,Latitude,Longitude
,,,,,,,,,
,FALSE,Cafe,,,,117,ARABICA,,
,False,Cafe,,,,0,Auntie Anne's,,
,True,Indonesian,PT KIRANA INDO PRATAMA,ID32210046862860326,08 March 2026,1,Bebek Bengil,-6.300494296,106.6530426
,True,Healthy,PT. SINAR MAKEKE RETAILINDO,ID64210067411000526,09 May 2026,543,BOOST,-6.300138994,106.6520222
,False,Cafe,,,,0,BREW & BARREL,,
,False,Cafe,,,,0,BURGREENS,,
,True,Beverages,"Yimeiyuan (Fujian) Agricultural Development Co.,Ltd.",ID00410011733510923,13 November 2023,41,CHAGEE,-6.301443205,106.6538183
,FALSE,Cafe,PT. KABEPE CHAKRA,ID00310000224420122,03 March 2022,13,CHAKRA,,
,False,Cafe,,,,0,CHATERAISE,,
,True,Beverages,PT. FOODS BEVERAGES INDONESIA,ID00310000225090122,04 July 2025,8,Chatime,-6.30189975,106.6544289
,False,Cafe,,,,0,Chong Qing Hot Pot,,
,FALSE,Cafe,NURMALA SARI DEWI,ID31410031768071025,25 October 2025,1,Cutt & Grill,,
,True,Dessert,PT. UNZA VITALIS,ID00410000133670721,06 June 2026,108,Dore,-6.301898947,106.6539779
,True,Cafe,"PT. MATAHARI PUTRA PRIMA, TBK",ID00410000227811121,17 April 2026,1250,Fore,-6.302333635,106.6546966
,True,Healthy,PT. SYMRISE,,15 August 2024,86,Fruity,-6.301589385,106.6542821
,False,Cafe,,,,0,Gallura,,
,True,Asian,PT. SINAR RASA ABADI (GION SUSHI),ID00410011696200723,13 June 2026,11,GION,-6.302752118,106.6547285
,True,Western,PT CHAROEN POKPHAND INDONESIA TBK,ID00410000202830821,19 February 2026,1,Hachi Grill,-6.301696382,106.654589
,True,Asian,PT. LEZAT TIADA TARA,ID36410021985610525,13 August 2025,64,HAN GUKSU,-6.301461433,106.65278
,True,Asian,PT. Ekosjaya Abadi Lestari,ID35110000271500622,30 October 2023,2,HONU,-6.301772926,106.6533135
,False,Cafe,,,,0,Ikkudo Ichi,,
,True,Dessert,KURNIA JOKO PURWANTO,ID33110021067661224,20 January 2025,29,J.CO,-6.301876722,106.6550559
,True,Indonesian,NABHIRA SEFFIENA PRANATASYA,ID35410022654100525,31 May 2025,3,Jalarasa,-6.302088622,106.654675
,False,Cafe,,,,0,JITTLADA,,
,False,Cafe,,,,0,KENANGAN SIGNATURE,,
,True,Western,TIGANS KITCHENETTE,ID14210066450600526,07 May 2026,58,Kitchenette,-6.301847442,106.6551159
,True,Indonesian,SPPG PASURUAN LEKOK GEJUGJATI,ID35210076370220626,12 June 2026,30,Leko,-6.30249695,106.6551571
,False,Cafe,,,,0,N.O.B,,
,False,Cafe,,,,0,PAUL LE CAFE,,
,False,Cafe,,,,0,Pesta Kebun,,
,True,Healthy,PT. SEWU SENTRAL PRIMATAMA,ID00410000228490921,05 December 2024,96,Re.juve,-6.302021054,106.6548402
,False,Cafe,,,,0,Saigon Delight,,
,False,Cafe,,,,0,Sakebiru Izakaya,,
,True,Healthy,PT. Maxindo Karya Anugerah,ID00410000091530920,13 July 2023,2,SALADSTOP,-6.301744727,106.6532596
,False,Cafe,,,,0,Sate Khas Senayan,,
,True,Asian,CHAIRIYAH,ID64110013647390723,07 September 2023,8,Shihlin,-6.301642887,106.6545171
,True,Healthy,PT. ARES KUSUMA RAYA,ID35310000001331219,19 December 2025,7,Sour Sally,-6.300910914,106.6544873
,True,Cafe,PT. SEASONAL SUPPLIES INDONESIA,ID00410000081680221,06 March 2026,72,Starbucks,-6.301321214,106.6544608
,True,Western,PT. SARI SANDWICH INDONESIA (SUBWAY),ID31410000481440722,23 April 2026,28,SUBWAY,-6.301986706,106.6547882
,True,Asian,PT Kikkoman Akufood Indonesia,,-,11,SUSHI TEI,-6.30126235,106.6537904
,True,Cafe,PT. DYNAPLAST,ID00410017848720324,27 May 2024,1,TAMPER,-6.30131539,106.6536841
,False,Cafe,,,,0,Teazzi,,
,False,Cafe,,,,0,The Pancake Co.,,
,False,Cafe,,,,0,The People's Cafe,,
,True,Cafe,FORBES SUKSES ABADI,ID32110016689860324,17 April 2024,1,Toby's Estate,-6.301524525,106.6539129
,True,Asian,PT. Sinar Rasa Abadi (Wee Nam Kee),ID00410013149670723,14 December 2023,1,Wee Nam Kee,-6.301698057,106.6540629
,FALSE,Cafe,ALLIED BIOTECH CORPORATION,ID00410023720750725,05 July 2025,37,WSC,,